State,District,Crop,Season,Area_hectares,Rainfall_mm,Temperature_C,Soil_Moisture_%,Fertilizer_kg,Pesticide_kg,Yield_ton_per_hectare
Maharashtra,Kolhapur,Jowar,Monsoon,18.22,1204.42,34.12,74.01,134.14,15.37,2.58
Maharashtra,Pune,Cotton,Summer,0.52,1193.21,34.87,27.34,151.47,42.94,3.07
Maharashtra,Ratnagiri,Rice,Summer,11.35,947.46,23.08,50.66,27.93,46.56,3.59
Maharashtra,Mumbai,Sugarcane,Winter,15.25,1101.61,18.62,85.5,78.81,49.83,75.63
Maharashtra,Akola,Tur,Winter,5.54,956.05,32.79,33.17,98.69,40.21,1.86
Maharashtra,Sindhudurg,Cotton,Winter,4.27,1155.63,20.13,72.91,219.63,38.18,2.77
Maharashtra,Akola,Tur,Monsoon,2.14,1279.13,24.3,88.35,23.22,12.34,2.5
Maharashtra,Yavatmal,Bajra,Monsoon,6.87,1344.03,18.08,28.39,134.46,18.13,2.51
Maharashtra,Ahmednagar,Sugarcane,Summer,11.42,1145.47,31.63,69.34,278.73,24.35,76.54
Maharashtra,Nanded,Cotton,Monsoon,2.76,1409.99,21.34,55.43,51.33,39.12,3.32
Maharashtra,Latur,Soybean,Monsoon,7.85,597.79,31.11,62.65,164.6,45.92,2.74
Maharashtra,Latur,Soybean,Monsoon,0.68,696.78,37.83,30.55,240.23,11.08,2.48
Maharashtra,Buldhana,Cotton,Winter,16.46,1546.23,19.45,27.8,283.91,46.27,3.34
Maharashtra,Akola,Tur,Winter,3.0,851.54,19.54,68.35,229.1,35.39,1.98
Maharashtra,Beed,Sugarcane,Summer,6.03,432.05,24.81,78.52,221.76,31.32,76.47
Maharashtra,Nashik,Soybean,Monsoon,0.86,615.31,35.33,75.83,251.42,11.59,2.48
Maharashtra,Aurangabad,Sugarcane,Monsoon,8.93,713.06,22.31,60.35,144.94,4.67,76.04
Maharashtra,Buldhana,Soybean,Summer,16.88,1740.25,25.21,31.49,245.64,29.29,3.2
Maharashtra,Solapur,Bajra,Monsoon,8.15,1202.26,19.37,69.72,22.23,33.27,2.56
Maharashtra,Ratnagiri,Tur,Monsoon,4.0,1705.82,33.26,40.72,278.88,12.12,3.03
Maharashtra,Sangli,Bajra,Winter,15.2,1205.23,26.17,84.22,144.13,28.71,3.0
Maharashtra,Solapur,Soybean,Summer,15.88,1071.1,33.18,79.49,174.95,43.11,2.41
Maharashtra,Wardha,Bajra,Summer,3.89,839.22,36.07,71.11,91.37,42.08,2.08
Maharashtra,Nagpur,Soybean,Summer,15.53,1248.92,22.66,86.67,227.91,46.51,3.37
Maharashtra,Dhule,Cotton,Summer,18.97,594.88,34.15,27.04,41.46,19.56,2.27
Maharashtra,Wardha,Bajra,Winter,3.74,1657.57,19.18,72.85,264.34,17.27,2.79
Maharashtra,Sangli,Wheat,Winter,15.53,1561.07,35.98,46.47,251.87,37.97,3.65
Maharashtra,Ratnagiri,Tur,Monsoon,14.32,844.54,31.02,83.89,80.5,22.69,2.32
Maharashtra,Pune,Rice,Monsoon,9.73,1733.92,35.48,42.33,246.61,6.2,4.23
Maharashtra,Beed,Jowar,Monsoon,1.63,1555.28,18.0,72.12,240.18,15.57,2.63
Maharashtra,Latur,Bajra,Monsoon,1.96,1332.83,21.38,82.05,197.02,22.09,3.14
Maharashtra,Solapur,Maize,Winter,17.12,570.47,25.8,27.71,124.59,16.04,3.78
Maharashtra,Akola,Tur,Summer,19.81,1069.53,25.59,50.85,96.02,17.95,2.04
Maharashtra,Satara,Wheat,Winter,13.68,1108.55,22.53,74.55,84.9,16.1,3.75
Maharashtra,Latur,Wheat,Monsoon,9.2,725.57,25.63,54.57,109.21,3.99,3.54
Maharashtra,Nashik,Soybean,Winter,13.13,511.95,20.58,42.37,273.0,32.58,2.31
Maharashtra,Dhule,Soybean,Summer,12.09,1487.41,26.26,39.29,41.74,30.67,2.73
Maharashtra,Yavatmal,Jowar,Summer,7.98,570.85,34.05,33.55,252.08,33.36,2.32
Maharashtra,Nagpur,Cotton,Winter,1.78,1232.01,27.58,80.71,117.69,11.23,3.35
Maharashtra,Wardha,Maize,Winter,16.52,1711.03,18.36,62.4,166.05,16.19,3.86
Maharashtra,Satara,Rice,Winter,7.75,1626.55,26.43,29.97,242.46,31.74,5.03
Maharashtra,Nagpur,Jowar,Monsoon,16.47,788.85,18.54,49.87,267.63,30.78,2.55
Maharashtra,Pune,Sugarcane,Winter,5.42,1592.03,37.32,48.9,116.54,26.3,75.98
Maharashtra,Kolhapur,Rice,Winter,0.52,400.47,20.55,36.81,149.32,18.82,3.37
Maharashtra,Sindhudurg,Bajra,Winter,3.6,424.76,32.15,53.31,136.06,45.82,2.37
Maharashtra,Ahmednagar,Tur,Summer,9.64,1243.57,37.46,46.59,23.71,18.31,1.97
Maharashtra,Nagpur,Sugarcane,Summer,18.91,910.72,34.52,47.22,102.86,23.87,76.01
Maharashtra,Sindhudurg,Sugarcane,Monsoon,2.49,941.05,31.99,73.04,148.57,34.55,76.32
Maharashtra,Wardha,Jowar,Monsoon,17.16,1190.22,34.79,39.51,135.11,28.07,2.72
Maharashtra,Akola,Cotton,Summer,10.78,668.5,37.64,66.72,222.14,18.65,2.87
Maharashtra,Pune,Jowar,Summer,16.61,696.46,30.43,62.09,127.75,22.91,2.21
Maharashtra,Ahmednagar,Bajra,Summer,6.32,1078.44,29.18,61.93,157.03,40.14,3.04
Maharashtra,Nagpur,Cotton,Winter,16.88,1455.95,30.56,68.1,140.29,15.35,3.54
Maharashtra,Dhule,Bajra,Winter,15.57,1267.3,28.65,60.64,227.38,8.83,3.22
Maharashtra,Nanded,Cotton,Summer,4.99,816.3,30.7,82.15,261.63,17.03,3.53
Maharashtra,Latur,Wheat,Winter,3.06,1002.47,27.0,68.91,168.93,42.78,4.19
Maharashtra,Satara,Sugarcane,Winter,17.43,638.93,22.37,60.55,241.04,6.27,75.95
Maharashtra,Dhule,Maize,Monsoon,19.28,504.48,20.4,78.93,103.1,49.6,3.17
Maharashtra,Satara,Tur,Summer,1.11,1495.77,19.37,64.4,171.58,27.97,2.84
Maharashtra,Ratnagiri,Bajra,Summer,14.76,771.54,23.27,43.92,116.66,49.27,2.26
Maharashtra,Nanded,Rice,Winter,18.24,648.87,18.92,38.46,135.98,47.07,3.6
Maharashtra,Jalgaon,Cotton,Summer,17.22,1368.27,29.34,34.9,225.08,23.74,3.01
Maharashtra,Wardha,Tur,Monsoon,19.31,1265.27,23.68,83.46,266.87,11.53,3.18
Maharashtra,Latur,Rice,Monsoon,15.32,1286.47,34.49,71.16,54.02,9.91,3.9
Maharashtra,Ratnagiri,Tur,Monsoon,9.12,720.45,19.48,85.93,197.7,13.52,2.0
Maharashtra,Jalgaon,Maize,Summer,6.58,725.7,22.53,64.21,183.0,36.09,3.84
Maharashtra,Sangli,Rice,Summer,6.75,709.12,32.6,55.77,53.16,15.1,3.37
Maharashtra,Latur,Jowar,Summer,14.63,643.25,29.98,28.88,79.33,18.39,1.95
Maharashtra,Jalgaon,Soybean,Summer,15.04,1318.01,19.29,68.66,107.08,23.54,2.61
Maharashtra,Mumbai,Jowar,Summer,4.41,1587.22,35.54,62.84,66.74,45.84,2.8
Maharashtra,Solapur,Soybean,Monsoon,17.43,1414.04,35.55,89.36,88.24,11.09,3.26
Maharashtra,Sangli,Jowar,Winter,14.44,1508.93,24.61,40.55,94.93,2.24,2.95
Maharashtra,Mumbai,Soybean,Monsoon,11.47,966.72,24.81,59.5,113.99,4.88,2.06
Maharashtra,Akola,Soybean,Summer,9.69,1315.71,37.78,67.31,229.83,45.43,2.63
Maharashtra,Satara,Sugarcane,Monsoon,11.09,895.93,30.52,66.9,180.14,33.08,75.86
Maharashtra,Amravati,Cotton,Summer,3.61,1135.71,28.63,61.48,296.15,15.11,3.41
Maharashtra,Buldhana,Cotton,Summer,4.47,1074.29,34.76,75.5,136.13,10.51,2.94
Maharashtra,Yavatmal,Sugarcane,Monsoon,2.28,647.64,23.71,38.32,231.08,16.12,76.17
Maharashtra,Satara,Tur,Summer,3.5,941.91,26.58,72.17,264.01,7.51,2.62
Maharashtra,Nashik,Wheat,Winter,9.35,1749.35,23.36,65.28,210.11,47.19,4.32
Maharashtra,Nashik,Tur,Summer,10.84,748.01,33.78,83.24,135.32,39.64,2.24
Maharashtra,Mumbai,Rice,Winter,0.85,587.33,29.47,80.07,231.01,24.19,3.87
Maharashtra,Aurangabad,Rice,Winter,16.04,986.01,31.18,45.48,77.03,43.52,3.63
Maharashtra,Ahmednagar,Soybean,Summer,6.24,1506.47,23.05,42.96,111.71,13.97,2.64
Maharashtra,Solapur,Jowar,Monsoon,18.28,1215.01,22.4,88.81,173.07,36.42,2.79
Maharashtra,Sangli,Jowar,Winter,19.37,1353.36,27.77,59.27,181.11,43.09,3.01
Maharashtra,Solapur,Cotton,Monsoon,4.12,665.57,32.75,83.92,26.2,19.12,3.11
Maharashtra,Sangli,Bajra,Winter,9.51,1266.53,28.5,35.65,284.63,38.36,3.3
Maharashtra,Satara,Tur,Summer,0.52,852.9,18.65,66.78,215.06,16.16,1.94
Maharashtra,Akola,Maize,Summer,12.17,1568.02,35.37,77.64,158.8,16.35,4.3
Maharashtra,Pune,Jowar,Winter,12.34,1281.02,19.29,86.58,281.28,7.14,2.89
Maharashtra,Mumbai,Maize,Summer,5.33,678.4,37.12,46.93,142.95,23.12,3.28
Maharashtra,Nanded,Soybean,Winter,11.39,490.46,18.5,72.12,294.52,37.03,2.58
Maharashtra,Aurangabad,Maize,Summer,4.9,459.69,31.89,60.02,163.44,47.13,3.21
Maharashtra,Nashik,Sugarcane,Monsoon,3.64,919.97,19.64,28.94,52.0,30.98,75.77
Maharashtra,Akola,Maize,Summer,13.2,772.19,36.21,69.85,234.14,43.43,4.33
Maharashtra,Satara,Wheat,Monsoon,6.86,1304.53,27.29,69.86,210.09,41.48,4.32
Maharashtra,Sindhudurg,Soybean,Summer,12.01,1099.07,20.75,85.49,236.44,10.32,2.93
Maharashtra,Nashik,Tur,Monsoon,8.95,772.43,24.82,57.33,286.4,25.32,2.52
Maharashtra,Mumbai,Sugarcane,Summer,19.69,608.93,21.3,39.97,237.42,7.61,76.2
Maharashtra,Nashik,Jowar,Monsoon,3.42,578.08,21.41,27.9,191.17,34.74,1.84
Maharashtra,Aurangabad,Rice,Winter,9.56,1610.52,36.96,52.02,260.05,47.6,4.68
Maharashtra,Latur,Tur,Winter,13.77,740.87,26.9,44.62,208.51,8.58,2.4
Maharashtra,Dhule,Rice,Monsoon,8.21,1312.39,33.78,74.47,134.27,37.23,4.89
Maharashtra,Nashik,Soybean,Summer,19.51,1534.96,30.79,48.03,267.97,32.35,3.21
Maharashtra,Mumbai,Sugarcane,Monsoon,14.58,1259.71,31.53,86.69,82.13,30.01,76.05
Maharashtra,Aurangabad,Cotton,Summer,13.31,1603.39,20.63,87.55,220.1,20.73,3.36
Maharashtra,Dhule,Jowar,Winter,15.26,949.35,22.68,65.36,266.84,19.05,2.72
Maharashtra,Solapur,Wheat,Summer,19.08,1738.71,33.74,85.36,224.77,4.17,4.84
Maharashtra,Sangli,Cotton,Winter,18.2,586.4,37.42,74.46,215.24,12.46,2.65
Maharashtra,Latur,Soybean,Summer,14.62,543.01,23.25,60.55,230.74,2.73,2.49
Maharashtra,Latur,Tur,Summer,15.11,1322.17,23.43,36.72,150.22,29.91,2.47
Maharashtra,Ahmednagar,Wheat,Summer,3.35,1719.96,27.46,54.81,264.77,7.08,4.43
Maharashtra,Jalgaon,Maize,Monsoon,2.5,1532.44,37.68,61.46,76.96,43.9,3.76
Maharashtra,Buldhana,Wheat,Monsoon,11.63,506.98,23.38,81.16,55.67,27.11,3.09
Maharashtra,Solapur,Soybean,Winter,0.86,791.11,26.14,56.29,99.94,35.59,2.81
Maharashtra,Yavatmal,Bajra,Winter,9.91,1702.45,35.83,83.35,168.84,21.72,3.49
Maharashtra,Beed,Maize,Monsoon,4.6,754.28,18.06,68.83,162.96,28.91,3.24
Maharashtra,Nagpur,Rice,Winter,7.25,1493.64,18.8,33.9,249.77,47.25,4.15
Maharashtra,Aurangabad,Jowar,Monsoon,15.63,1555.19,30.08,89.67,133.28,5.97,3.51
Maharashtra,Solapur,Rice,Summer,18.85,1093.63,36.15,59.27,155.62,14.19,4.06
Maharashtra,Jalgaon,Wheat,Winter,1.91,940.89,22.78,50.47,23.74,39.44,3.2
Maharashtra,Latur,Rice,Winter,10.92,1030.17,27.39,67.84,134.73,6.74,3.93
Maharashtra,Amravati,Soybean,Monsoon,17.71,717.75,27.01,32.08,201.38,5.63,2.84
Maharashtra,Nagpur,Tur,Winter,2.11,1645.15,27.46,66.38,24.34,19.35,2.75
Maharashtra,Jalgaon,Jowar,Winter,16.58,1030.87,30.45,57.39,98.65,6.42,2.09
Maharashtra,Solapur,Rice,Summer,7.48,1635.44,27.39,51.43,78.23,30.08,4.75
Maharashtra,Buldhana,Rice,Winter,6.78,547.97,26.95,86.95,31.76,12.86,3.48
Maharashtra,Sindhudurg,Wheat,Summer,19.56,1783.59,27.49,58.97,154.19,44.99,4.44
Maharashtra,Pune,Tur,Monsoon,4.42,1020.58,29.82,39.24,70.88,39.61,2.0
Maharashtra,Ahmednagar,Cotton,Winter,14.02,466.96,28.74,54.83,228.06,35.59,3.45
Maharashtra,Jalgaon,Rice,Summer,16.52,453.23,35.08,84.76,257.42,31.61,3.96
Maharashtra,Ratnagiri,Soybean,Monsoon,1.3,1444.69,18.99,36.45,172.76,43.45,2.54
Maharashtra,Kolhapur,Bajra,Winter,13.57,1322.65,34.67,38.91,294.88,12.71,2.51
Maharashtra,Akola,Jowar,Monsoon,19.06,1522.98,34.88,25.85,146.13,43.91,2.26
Maharashtra,Akola,Rice,Winter,2.92,547.51,23.7,25.92,163.74,39.9,3.34
Maharashtra,Beed,Soybean,Monsoon,17.98,449.8,27.26,78.91,296.98,37.91,2.8
Maharashtra,Amravati,Soybean,Monsoon,12.1,1112.01,26.77,72.59,84.83,28.94,2.86
Maharashtra,Solapur,Jowar,Summer,12.52,942.63,22.37,48.08,283.91,13.82,1.99
Maharashtra,Mumbai,Cotton,Monsoon,12.45,1046.73,25.94,70.39,31.99,22.33,2.66
Maharashtra,Mumbai,Soybean,Winter,6.33,1788.22,18.89,50.69,144.99,40.09,2.85
Maharashtra,Beed,Bajra,Winter,18.74,1759.05,23.56,86.94,39.6,3.53,3.07
Maharashtra,Jalgaon,Soybean,Summer,18.97,1719.24,34.33,87.86,224.19,39.54,3.4
Maharashtra,Sangli,Soybean,Winter,12.69,1497.38,23.69,50.53,190.35,13.52,3.02
Maharashtra,Nashik,Soybean,Winter,15.78,896.78,34.36,80.52,217.86,8.93,2.73
Maharashtra,Solapur,Cotton,Winter,12.44,976.98,28.63,75.25,124.85,7.55,3.31
Maharashtra,Kolhapur,Rice,Monsoon,9.95,1169.46,35.6,45.15,123.45,3.31,3.96
Maharashtra,Satara,Soybean,Monsoon,13.39,1562.75,29.5,40.08,32.69,27.13,2.87
Maharashtra,Sangli,Tur,Winter,11.28,496.2,18.59,54.79,117.98,12.48,1.4
Maharashtra,Aurangabad,Rice,Summer,12.15,994.02,31.51,75.79,280.2,49.49,4.78
Maharashtra,Mumbai,Cotton,Monsoon,15.78,515.66,18.9,87.41,126.18,29.57,2.72
Maharashtra,Buldhana,Sugarcane,Summer,9.88,1120.52,27.01,74.63,252.78,8.62,77.19
Maharashtra,Ahmednagar,Rice,Winter,1.29,1658.46,36.59,80.59,255.85,35.06,5.08
Maharashtra,Akola,Rice,Winter,3.7,1495.48,21.3,64.2,124.51,45.09,3.91
Maharashtra,Latur,Maize,Monsoon,9.05,718.98,25.8,79.3,196.96,37.77,3.95
Maharashtra,Sindhudurg,Wheat,Winter,14.63,1766.39,32.6,75.99,46.7,5.67,4.37
Maharashtra,Sangli,Maize,Monsoon,12.07,1334.29,35.65,49.5,49.03,45.0,3.3
Maharashtra,Beed,Bajra,Winter,13.18,414.6,31.42,60.88,33.62,40.11,2.33
Maharashtra,Yavatmal,Wheat,Winter,9.85,757.58,23.16,77.31,182.68,9.6,3.72
Maharashtra,Yavatmal,Jowar,Monsoon,12.51,765.0,31.49,27.99,139.3,4.49,2.23
Maharashtra,Beed,Jowar,Monsoon,6.92,496.96,23.93,77.53,173.45,28.75,2.32
Maharashtra,Akola,Cotton,Monsoon,9.67,1743.76,32.37,36.56,165.9,9.49,3.08
Maharashtra,Solapur,Wheat,Winter,15.01,1069.56,37.08,58.45,118.06,42.06,3.77
Maharashtra,Pune,Rice,Winter,17.5,1654.14,32.43,77.54,209.69,19.2,5.48
Maharashtra,Nashik,Jowar,Summer,8.96,851.1,35.26,41.5,232.38,45.82,2.15
Maharashtra,Yavatmal,Soybean,Monsoon,1.35,575.33,18.04,40.98,24.1,29.15,1.59
Maharashtra,Aurangabad,Tur,Winter,3.65,1064.07,32.35,51.18,78.03,10.77,1.42
Maharashtra,Yavatmal,Rice,Winter,0.91,559.54,34.59,83.15,219.71,8.7,4.36
Maharashtra,Yavatmal,Bajra,Monsoon,13.24,1080.42,18.81,25.03,128.25,29.67,2.29
Maharashtra,Yavatmal,Soybean,Summer,6.98,1688.42,35.43,83.59,205.5,38.57,2.87
Maharashtra,Pune,Soybean,Monsoon,11.08,1129.08,23.13,35.0,117.15,39.51,1.95
Maharashtra,Pune,Wheat,Summer,10.12,1263.1,31.31,89.36,129.41,15.24,3.71
Maharashtra,Sindhudurg,Cotton,Winter,2.09,619.29,34.01,87.07,64.43,11.8,2.92
Maharashtra,Aurangabad,Bajra,Summer,8.36,461.23,31.25,57.15,92.3,2.8,2.3
Maharashtra,Mumbai,Jowar,Winter,4.8,555.13,19.85,58.33,189.52,34.6,1.84
Maharashtra,Mumbai,Wheat,Monsoon,8.66,1237.94,29.93,56.3,141.29,5.68,4.13
Maharashtra,Buldhana,Jowar,Monsoon,4.47,533.02,28.99,66.3,236.8,22.2,2.63
Maharashtra,Pune,Wheat,Monsoon,16.89,926.39,36.01,30.9,258.72,30.88,3.48
Maharashtra,Ratnagiri,Wheat,Summer,3.9,1170.13,26.08,27.12,171.66,46.98,4.04
Maharashtra,Akola,Wheat,Winter,19.24,944.11,24.42,28.75,232.31,16.97,3.42
Maharashtra,Kolhapur,Cotton,Monsoon,8.61,629.16,33.0,53.88,105.93,13.99,2.93
Maharashtra,Nagpur,Wheat,Monsoon,17.0,783.31,26.25,42.91,136.19,33.4,3.41
Maharashtra,Amravati,Sugarcane,Winter,12.76,1699.64,30.92,65.43,219.58,31.72,77.47
Maharashtra,Yavatmal,Tur,Monsoon,14.84,1346.38,30.93,89.51,128.14,17.94,2.51
Maharashtra,Kolhapur,Jowar,Winter,15.47,1094.47,35.76,50.11,184.78,46.55,2.29
Maharashtra,Aurangabad,Rice,Winter,10.34,417.8,29.97,62.3,71.9,42.55,3.66
Maharashtra,Beed,Maize,Winter,11.09,1789.38,28.04,52.01,187.94,12.75,4.76
Maharashtra,Pune,Bajra,Winter,10.52,1340.04,20.78,80.07,261.22,13.48,3.21
Maharashtra,Kolhapur,Cotton,Winter,11.97,843.69,20.31,83.65,263.22,26.59,2.94
Maharashtra,Sindhudurg,Rice,Summer,1.07,1630.98,21.09,82.03,222.82,39.13,4.71
Maharashtra,Amravati,Soybean,Monsoon,8.21,761.8,21.44,88.33,228.81,4.11,2.85
Maharashtra,Nanded,Sugarcane,Summer,12.32,1161.62,30.76,26.79,176.22,35.28,76.13
Maharashtra,Nanded,Maize,Monsoon,12.16,1290.5,32.82,79.59,183.71,33.12,4.49
Maharashtra,Mumbai,Rice,Summer,15.96,709.49,28.6,73.87,57.42,13.11,3.63
Maharashtra,Sangli,Rice,Winter,13.27,1769.76,34.58,39.87,144.28,34.7,4.22
Maharashtra,Kolhapur,Sugarcane,Monsoon,19.85,1447.47,37.83,87.16,146.22,47.13,76.32
Maharashtra,Nanded,Maize,Monsoon,6.04,1180.94,34.4,34.63,288.38,4.25,4.04
Maharashtra,Nashik,Soybean,Summer,7.5,652.83,31.9,69.17,140.7,17.34,2.88
Maharashtra,Beed,Wheat,Summer,7.99,475.4,28.65,39.62,173.82,23.03,3.87
Maharashtra,Nagpur,Jowar,Monsoon,9.58,848.08,26.98,53.04,169.31,45.16,2.85
Maharashtra,Buldhana,Soybean,Summer,16.8,1454.46,19.69,71.75,198.29,48.19,2.88
Maharashtra,Nashik,Wheat,Summer,5.1,777.06,25.99,61.62,229.51,23.32,4.17
Maharashtra,Buldhana,Cotton,Summer,15.63,1155.38,36.2,52.79,83.01,38.0,2.8
Maharashtra,Beed,Tur,Winter,8.4,1419.13,34.16,46.21,168.04,27.52,2.41
Maharashtra,Solapur,Bajra,Winter,12.24,551.12,22.32,79.58,251.26,27.81,2.59
Maharashtra,Beed,Bajra,Summer,12.83,1359.42,27.33,34.35,149.67,15.35,3.24
Maharashtra,Sangli,Jowar,Summer,7.77,528.62,34.33,52.96,97.97,12.41,2.23
Maharashtra,Mumbai,Maize,Winter,10.5,1751.18,19.35,83.74,203.32,15.82,4.77
Maharashtra,Satara,Sugarcane,Winter,8.55,1083.75,25.75,79.98,250.65,28.7,76.79
Maharashtra,Solapur,Maize,Monsoon,1.85,610.95,35.04,51.06,37.68,3.4,3.26
Maharashtra,Wardha,Sugarcane,Monsoon,9.02,879.34,26.08,74.6,237.5,45.55,76.77
Maharashtra,Satara,Maize,Winter,2.4,978.78,19.55,78.51,250.06,9.5,4.01
Maharashtra,Mumbai,Tur,Summer,8.4,1461.46,28.85,82.78,149.23,12.56,3.18
Maharashtra,Amravati,Cotton,Summer,12.06,1440.79,35.23,60.39,295.33,26.88,3.34
Maharashtra,Wardha,Cotton,Summer,11.8,1256.72,29.81,38.29,240.28,36.09,3.51
Maharashtra,Ahmednagar,Wheat,Summer,13.42,548.3,22.53,41.6,236.63,6.59,2.9
Maharashtra,Nashik,Cotton,Monsoon,2.36,612.2,25.68,44.22,229.39,17.25,2.84
Maharashtra,Solapur,Cotton,Winter,13.22,531.26,27.0,63.6,62.17,48.5,3.28
Maharashtra,Nanded,Soybean,Summer,6.59,1208.04,29.59,27.13,80.82,14.59,2.79
Maharashtra,Nanded,Soybean,Monsoon,8.28,1627.99,33.19,66.34,149.92,17.03,3.49
Maharashtra,Beed,Wheat,Summer,17.23,1007.32,19.98,48.68,93.92,42.15,3.21
Maharashtra,Yavatmal,Jowar,Winter,0.68,625.19,35.79,44.19,136.27,4.41,1.92
Maharashtra,Pune,Soybean,Monsoon,11.97,1181.26,18.25,82.17,268.77,24.3,3.3
Maharashtra,Mumbai,Jowar,Winter,12.17,1536.45,25.4,54.9,250.81,20.22,3.28
Maharashtra,Nanded,Rice,Winter,8.23,1438.4,18.55,31.18,196.41,17.2,4.12
Maharashtra,Akola,Soybean,Monsoon,5.12,1634.03,25.86,78.74,260.27,15.71,4.03
Maharashtra,Aurangabad,Tur,Monsoon,5.08,789.06,28.52,28.1,239.46,6.39,2.02
Maharashtra,Aurangabad,Wheat,Monsoon,17.73,671.54,28.23,72.24,140.12,17.11,3.8
Maharashtra,Sangli,Rice,Monsoon,9.12,1631.74,21.31,75.3,76.3,4.07,3.9
Maharashtra,Sangli,Tur,Monsoon,6.95,1320.58,30.91,47.92,163.98,39.49,2.23
Maharashtra,Nashik,Tur,Monsoon,9.25,835.3,18.9,78.61,226.14,21.11,2.53
Maharashtra,Buldhana,Tur,Monsoon,13.55,1439.29,33.24,58.52,142.2,23.31,2.27
Maharashtra,Nanded,Jowar,Summer,3.34,1541.17,36.93,55.11,206.7,44.89,2.89
Maharashtra,Nanded,Maize,Winter,9.26,1260.97,24.8,27.95,46.41,33.59,4.13
Maharashtra,Nashik,Rice,Monsoon,11.96,1363.04,28.34,43.85,229.44,2.39,4.53
Maharashtra,Beed,Sugarcane,Summer,19.0,925.36,25.58,85.52,247.56,47.27,76.89
Maharashtra,Sindhudurg,Rice,Summer,5.42,1154.17,18.13,50.47,217.91,13.38,4.17
Maharashtra,Mumbai,Maize,Summer,7.51,1133.82,25.72,60.54,290.83,7.17,4.2
Maharashtra,Beed,Rice,Winter,7.9,1587.27,33.83,59.58,251.46,38.87,4.48
Maharashtra,Amravati,Cotton,Monsoon,12.31,1575.95,29.92,63.38,272.87,26.02,3.65
Maharashtra,Yavatmal,Sugarcane,Summer,7.46,1565.75,20.03,28.99,281.4,22.82,76.4
Maharashtra,Satara,Maize,Winter,10.9,415.44,34.94,48.54,244.38,13.98,3.77
Maharashtra,Nagpur,Jowar,Winter,15.74,1449.36,28.62,72.0,208.79,28.28,3.05
Maharashtra,Kolhapur,Bajra,Winter,14.26,1462.15,34.83,38.04,21.6,15.17,2.28
Maharashtra,Satara,Maize,Summer,9.2,1349.73,29.6,38.23,150.43,45.28,3.92
Maharashtra,Beed,Wheat,Monsoon,17.35,1458.77,29.19,25.66,179.93,12.33,4.34
Maharashtra,Nashik,Maize,Summer,11.38,1578.76,20.11,53.44,105.13,44.45,3.89
Maharashtra,Nanded,Cotton,Summer,11.03,1058.45,21.35,82.38,109.07,28.85,3.47
Maharashtra,Nashik,Bajra,Monsoon,1.17,1102.87,37.44,28.37,289.12,41.77,2.48
Maharashtra,Wardha,Cotton,Monsoon,19.74,574.6,22.57,37.42,269.68,36.22,2.49
Maharashtra,Dhule,Bajra,Monsoon,2.9,939.53,37.55,45.16,257.77,35.44,2.37
Maharashtra,Wardha,Wheat,Winter,5.01,1300.71,28.64,72.56,133.68,17.57,3.96
Maharashtra,Pune,Jowar,Monsoon,1.51,1492.56,20.72,66.64,23.84,13.23,2.57
Maharashtra,Sindhudurg,Cotton,Summer,12.98,704.09,19.99,52.04,42.46,12.12,2.32
Maharashtra,Nashik,Cotton,Monsoon,4.88,592.95,22.18,74.34,107.41,43.15,2.79
